3.5737e-12,0,1,0.013682,0.9981,0.9981,0.9981,0.9981,0.9981
0,1.5603e-12,0.99507,0.51014,1,1,1,1,1
0.98772,0.99987,1,1,1,1,1,1,1
0.9877,0.99987,1,1,1,1,1,1,1
0,0.98772,0.99988,1,1,1,1,1,1
0,0.9877,0.99988,1,1,1,1,1,1
0,1.1939e-11,1.1699e-11,0.98649,1,1,1,1,1
0,1.1939e-11,1.1699e-11,0.98649,1,1,1,1,1
4.61e-12,4.61e-12,4.61e-12,4.61e-12,4.61e-12,0,2.1916e-12,1,0.012298
0,0,0,0,0,1.7414e-12,1.0989e-12,0.99408,0
0,0,0,0,0,0.98836,0.99988,1,1
0,0,0,0,0,0.98834,0.99988,1,1
0,0,0,0,0,6.8509e-12,0.98836,0.99987,1
9.5779e-13,9.5779e-13,9.5779e-13,9.5779e-13,9.5779e-13,0,0.98834,0.99987,1
0,0,0,0,0,1.7978e-11,1.9824e-11,2.0858e-11,0.98787
0,0,0,0,0,1.7978e-11,1.9824e-11,2.0858e-11,0.98787
